Distance (mm),Mutual Inductance (mH),Small coil
-225,4.270916265702599e-07
-220,-7.08431514413406e-07
-215,-1.956929591178517e-06
-210,-3.3322749624480837e-06
-205,-4.850370663705155e-06
-200,-6.529492383075472e-06
-195,-8.390693894857662e-06
-190,-1.0458288010463215e-05
-185,-1.2760417004024574e-05
-180,-1.532972827669493e-05
-175,-1.820417235004448e-05
-170,-2.1427940377635604e-05
-165,-2.5052555846245788e-05
-160,-2.9138127467959742e-05
-155,-3.375475284741299e-05
-150,-3.898402704661542e-05
-145,-4.492054165848408e-05
-140,-5.167313121325298e-05
-135,-5.936538503340764e-05
-130,-6.813450303096157e-05
-125,-7.81267660020162e-05
-120,-8.94864067038468e-05
-115,-0.0001023319449988727
-110,-0.0001167090853616843
-105,-0.00013250037654332817
-100,-0.0001492565208250791
-95,-0.00016589022774847242
-90,-0.0001801440981705979
-85,-0.0001877354885698606
-80,-0.00018118077606421622
-75,-0.00014867722893103624
-70,-7.412943004942407e-05
-65,6.018835524177674e-05
-60,0.00026808766817126086
-55,0.0005533551457978176
-50,0.0009055452934603604
-45,0.001298289520681086
-40,0.0016932152846418438
-35,0.0020517472274634656
-30,0.0023477293181725797
-25,0.0025721288665633093
-20,0.002729811943540487
-15,0.002833572991210538
-10,0.002898350225281392
-5,0.0029367189277430296
0,0.0029564255719928927
5,0.002959579373110279
10,0.002942484884588822
15,0.0028956570737411693
20,0.002804595549551023
25,0.002652580725914367
30,0.0024259044486677163
35,0.0021196411730032305
40,0.0017420562145111257
45,0.001318411423431848
50,0.000891214332495089
55,0.0005084929435442774
60,0.00020406461824965574
65,-1.2398064595741007e-05
70,-0.00014964254341916344
75,-0.00022452677369223824
80,-0.00025545369026543015
85,-0.00025879925272218025
90,-0.00024692908744300564
95,-0.00022793176769421238
100,-0.00020652754939373382
105,-0.00018522344268547908
110,-0.0001652223214032321
115,-0.0001470101447034782
120,-0.0001306996565321125
125,-0.00011622105641452175
130,-0.00010342422813655911
135,-9.213191497123192e-05
140,-8.216628853401614e-05
145,-7.336131256903107e-05
150,-6.556765466838084e-05
155,-5.865379488202104e-05
160,-5.2505289332938325e-05
165,-4.70232283874398e-05
170,-4.2122430432385116e-05
175,-3.772964245995404e-05
180,-3.3781873578700454e-05
185,-3.0224910713247078e-05
190,-2.701202619604724e-05
195,-2.410286769466228e-05
200,-2.1462512581506048e-05
205,-1.906066626392345e-05
210,-1.6870984301453992e-05
215,-1.4870499789377618e-05
220,-1.3039139649774463e-05
225,-1.1359315711298392e-05
230,-9.815578566313384e-06
