Time,Channel A
(s),(mV)

0.00000000,0.00000000
0.00407640,0.00000000
0.00815280,1.71628900
0.01222920,0.00000000
0.01630560,0.00000000
0.02038200,0.00000000
0.02445840,0.00000000
0.02853480,0.00000000
0.03261120,1.71628900
0.03668760,1.71628900
0.04076400,0.00000000
0.04484040,0.00000000
0.04891680,0.00000000
0.05299320,0.00000000
0.05706960,0.00000000
0.06114600,0.00000000
0.06522240,0.00000000
0.06929880,0.00000000
0.07337520,0.00000000
0.07745160,0.00000000
0.08152800,0.00000000
0.08560440,0.00000000
0.08968080,0.00000000
0.09375720,-1.71628900
0.09783360,0.00000000
0.10191000,0.00000000
0.10598640,0.00000000
0.11006280,0.00000000
0.11413920,0.00000000
0.11821560,-1.71628900
0.12229200,0.00000000
0.12636840,0.00000000
0.13044479,0.00000000
0.13452119,0.00000000
0.13859759,0.00000000
0.14267399,0.00000000
0.14675039,0.00000000
0.15082679,0.00000000
0.15490319,0.00000000
0.15897959,1.71628900
0.16305599,1.71628900
0.16713239,1.71628900
0.17120879,-1.71628900
0.17528519,0.00000000
0.17936159,0.00000000
0.18343799,0.00000000
0.18751439,1.71628900
0.19159079,10.31619000
0.19566719,0.00000000
0.19974359,0.00000000
0.20381999,-1.71628900
0.20789639,0.00000000
0.21197279,1.71628900
0.21604919,0.00000000
0.22012559,0.00000000
0.22420199,0.00000000
0.22827839,0.00000000
0.23235479,0.00000000
0.23643119,0.00000000
0.24050759,1.71628900
0.24458399,0.00000000
0.24866039,0.00000000
0.25273679,-1.71628900
0.25681319,0.00000000
0.26088959,0.00000000
0.26496599,0.00000000
0.26904239,0.00000000
0.27311879,0.00000000
0.27719519,-1.71628900
0.28127159,0.00000000
0.28534799,1.71628900
0.28942439,0.00000000
0.29350079,1.71628900
0.29757719,0.00000000
0.30165359,0.00000000
0.30572999,0.00000000
0.30980639,-1.71628900
0.31388279,0.00000000
0.31795919,0.00000000
0.32203559,0.00000000
0.32611199,0.00000000
0.33018839,-1.71628900
0.33426479,0.00000000
0.33834119,1.71628900
0.34241759,0.00000000
0.34649399,0.00000000
0.35057039,0.00000000
0.35464679,0.00000000
0.35872319,0.00000000
0.36279959,0.00000000
0.36687599,1.71628900
0.37095239,1.71628900
0.37502879,0.00000000
0.37910519,0.00000000
0.38318158,-1.71628900
0.38725798,0.00000000
0.39133438,0.00000000
0.39541078,0.00000000
0.39948718,0.00000000
0.40356358,-1.71628900
0.40763998,0.00000000
0.41171638,0.00000000
0.41579278,1.71628900
0.41986918,1.71628900
0.42394558,0.00000000
0.42802198,-1.71628900
0.43209838,0.00000000
0.43617478,0.00000000
0.44025118,-1.71628900
0.44432758,0.00000000
0.44840398,0.00000000
0.45248038,-1.71628900
0.45655678,0.00000000
0.46063318,0.00000000
0.46470958,0.00000000
0.46878598,0.00000000
0.47286238,0.00000000
0.47693878,0.00000000
0.48101518,0.00000000
0.48509158,-1.71628900
0.48916798,0.00000000
0.49324438,0.00000000
0.49732078,0.00000000
0.50139718,0.00000000
0.50547358,0.00000000
0.50954998,-1.71628900
0.51362638,0.00000000
0.51770278,0.00000000
0.52177918,0.00000000
0.52585558,0.00000000
0.52993198,0.00000000
0.53400838,0.00000000
0.53808478,0.00000000
0.54216118,1.71628900
0.54623758,0.00000000
0.55031398,-1.71628900
0.55439038,0.00000000
0.55846678,0.00000000
0.56254318,0.00000000
0.56661958,0.00000000
0.57069598,0.00000000
0.57477238,0.00000000
0.57884878,0.00000000
0.58292518,0.00000000
0.58700158,0.00000000
0.59107798,1.71628900
0.59515438,1.71628900
0.59923078,0.00000000
0.60330718,-1.71628900
0.60738358,0.00000000
0.61145998,-1.71628900
0.61553638,0.00000000
0.61961278,0.00000000
0.62368918,0.00000000
0.62776558,0.00000000
0.63184198,0.00000000
0.63591838,0.00000000
0.63999477,1.71628900
0.64407117,0.00000000
0.64814757,0.00000000
0.65222397,0.00000000
0.65630037,0.00000000
0.66037677,0.00000000
0.66445317,0.00000000
0.66852957,1.71628900
0.67260597,0.00000000
0.67668237,0.00000000
0.68075877,-1.71628900
0.68483517,0.00000000
0.68891157,0.00000000
0.69298797,0.00000000
0.69706437,0.00000000
0.70114077,0.00000000
